z     eps_p     eps_z
10.881673 1.000016 1.000003
10.897421 1.000016 1.000003
10.913168 1.000017 1.000003
10.928916 1.000018 1.000003
10.944664 1.000019 1.000003
10.960412 1.000020 1.000004
10.976159 1.000021 1.000004
10.991907 1.000022 1.000004
11.007655 1.000024 1.000004
11.023402 1.000025 1.000005
11.039150 1.000026 1.000005
11.054898 1.000026 1.000005
11.070646 1.000027 1.000005
11.086393 1.000028 1.000005
11.102141 1.000028 1.000005
11.117889 1.000028 1.000005
11.133636 1.000028 1.000005
11.149384 1.000029 1.000005
11.165132 1.000029 1.000005
11.180880 1.000030 1.000005
11.196627 1.000030 1.000006
11.212375 1.000031 1.000006
11.228123 1.000033 1.000006
11.243870 1.000034 1.000006
11.259618 1.000036 1.000007
11.275366 1.000037 1.000007
11.291114 1.000039 1.000007
11.306861 1.000041 1.000008
11.322609 1.000042 1.000008
11.338357 1.000044 1.000008
11.354105 1.000045 1.000008
11.369852 1.000046 1.000008
11.385600 1.000047 1.000009
11.401348 1.000047 1.000009
11.417095 1.000048 1.000009
11.432843 1.000049 1.000009
11.448591 1.000050 1.000009
11.464339 1.000050 1.000009
11.480086 1.000052 1.000010
11.495834 1.000053 1.000010
11.511582 1.000054 1.000010
11.527329 1.000056 1.000010
11.543077 1.000058 1.000011
11.558825 1.000061 1.000011
11.574573 1.000063 1.000012
11.590320 1.000066 1.000012
11.606068 1.000068 1.000013
11.621816 1.000070 1.000013
11.637563 1.000072 1.000013
11.653311 1.000075 1.000014
11.669059 1.000076 1.000014
11.684807 1.000078 1.000014
11.700554 1.000080 1.000015
11.716302 1.000082 1.000015
11.732050 1.000083 1.000015
11.747797 1.000085 1.000016
11.763545 1.000087 1.000016
11.779293 1.000090 1.000017
11.795041 1.000093 1.000017
11.810788 1.000096 1.000018
11.826536 1.000099 1.000018
11.842284 1.000102 1.000019
11.858031 1.000106 1.000020
11.873779 1.000110 1.000020
11.889527 1.000114 1.000021
11.905275 1.000118 1.000022
11.921022 1.000122 1.000023
11.936770 1.000126 1.000023
11.952518 1.000130 1.000024
11.968266 1.000134 1.000025
11.984013 1.000137 1.000025
11.999761 1.000141 1.000026
12.015509 1.000144 1.000027
12.031256 1.000148 1.000027
12.047004 1.000152 1.000028
12.062752 1.000155 1.000029
12.078500 1.000160 1.000029
12.094247 1.000164 1.000030
12.109995 1.000169 1.000031
12.125743 1.000175 1.000032
12.141490 1.000180 1.000033
12.157238 1.000186 1.000034
12.172986 1.000192 1.000036
12.188734 1.000199 1.000037
12.204481 1.000205 1.000038
12.220229 1.000211 1.000039
12.235977 1.000217 1.000040
12.251724 1.000223 1.000041
12.267472 1.000229 1.000042
12.283220 1.000235 1.000043
12.298968 1.000242 1.000045
12.314715 1.000248 1.000046
12.330463 1.000254 1.000047
12.346211 1.000261 1.000048
12.361958 1.000267 1.000049
12.377706 1.000275 1.000051
12.393454 1.000283 1.000052
12.409202 1.000291 1.000054
12.424949 1.000300 1.000055
12.440697 1.000309 1.000057
12.456445 1.000319 1.000059
12.472192 1.000329 1.000061
12.487940 1.000339 1.000063
12.503688 1.000349 1.000064
